id;nom;description;depth;nbre_produit
1;adorable hôte oups;quitte à frémir;6349;12740
2;de crainte que demain multiple;demander prêter à l'encontre de;31638;15348
3;hormis;à raison de par suite de;9296;2417
4;athlète;biathlète assez;13284;3277
5;craquer membre titulaire rose;splendide adorable vroum;32242;6655
6;puisque athlète diététiste;pendant que;12365;23072
7;hors de;menacer;26267;14823
8;blême de façon que terne;de façon à ce que triathlète adepte;4747;17139
9;dire prestataire de services snif;oui déboucher;4326;20408
10;en outre de bon;au dépens de;3361;164
